word;phonetic;translation
suggest;sәg'dʒest;vt. 提议, 建议, 促成, 暗示, 启发, 使人想起\n[法] 建议, 提出, 提议
let;let;vt. 让, 假设, 出租, 排放, 妨碍\nvi. 出租, 被承包\nn. 出租屋, 障碍
require;ri'kwaiә;vt. 需要, 命令, 要求\n[法] 需要, 要求, 命令
read;ri:d;v. 读, 阅读, 理解\na. 有学问的\nn. 读取, 阅读\n[计] 读取
continue;kәn'tinju:;vi. 继续, 延续, 延长\nvt. 使继续, 使延长
lose;lu:z;vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于\nvi. 受损失, 失败
add;æd;vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法
remain;ri'mein;vi. 保持, 逗留, 剩余\n[法] 停留, 居住, 继续
remember;ri'membә;vt. 记得, 回忆起, 记住, 铭记, 纪念\nvi. 记得
buy;bai;vt. 买, 获得\nvi. 买\nn. 购买, 买得的东西
speak;spi:k;vi. 说, 说话, 演说, 发言\nvt. 说, 讲, 说出
send;send;vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于\nvi. 寄信, 派人, 播送\nn. (船的)上升运动\n[计] 发送
receive;ri'si:v;vt. 收到, 接到, 得到, 接待, 迎接, 承受\nvi. 收到, 会客\n[计] 接收
decide;di'said;v. 决定, 判决
win;win;vt. 赢得, 打胜, 成功\nvi. 获胜, 达到, 影响\nn. 胜利, 赢, 收益
understand;.ʌndә'stænd;vt. 理解, 了解, 领会, 听说, 懂\nvi. 懂得, 认为
describe;di'skraib;vt. 描述, 描绘, 画
develop;di'velәp;vt. 发展, 使发达, 进步, 洗印, 显影\nvi. 发展, 生长
agree;ә'gri:;vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意
build;bild;v. 建立, 建筑\nn. 构造, 体格
spend;spend;vt. 花费, 浪费, 度过, 消耗, 消磨\nvi. 花费, 用尽
draw;drɒ:;vi. 拉, 拖, 拔剑\nvt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引\nn. 拉, 拖, 拔出, 抽签, 平局\n[计] 翻牌, 绘图
die;dai;vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望\nvt. 死\nn. 骰子, 冲模
create;kri:'eit;vt. 创造, 建造, 引起, 任命
sell;sel;vt. 卖, 背叛, 销售, 出卖\nvi. 卖, 销售\nn. 卖, 推销术, 失望
shall;ʃæl;aux. 将
accept;әk'sept;vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意
explain;ik'splein;v. 解释, 说明
learn;lә:n;vt. 学习；认识到；得知
apply;ә'plai;vt. 涂, 应用\nvi. 申请, 适用
grow;grәu;vt. 种植, 使长满\nvi. 生长, 变成, 发展
contain;kәn'tein;vt. 包含, 容纳, 控制\nvi. 自制
reduce;ri'dju:s;vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳\nvi. 减少, 减肥, 缩小\n[计] 缩小
join;dʒɒin;vi. 参加, 结合, 加入\nvt. 连接, 结合, 参加, 加入\nn. 连接, 结合, 接合点\n[计] 连接
seek;si:k;vt. 寻求, 寻找, 探索, 追求, 搜索, 请求\nvi. 寻找, 搜索\n[计] 查找
achieve;ә'tʃi:v;vt. 完成, 达到\nvi. 如愿以偿
choose;tʃu:z;vt. 选择, 宁愿, 欲\nvi. 作出选择, 愿意\n[计] 选取
fail;feil;vi. 失败, 缺乏, 中断, 衰退, 失灵\nvt. 忘记, 使...失望, 缺乏, 不及格\nn. 不及格
serve;sә:v;vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待\nvi. 服务, 服役, 侍应, 适合, 有用, 开球\nn. 发球, 轮到发球
occur;ә'kә:;vi. 发生, 被想到, 存在
represent;.repri'zent;vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演\nvi. 提出异议
discuss;dis'kʌs;vt. 讨论, 论述\n[医] 讨论, 辩论
prove;pru:v;vt. 证明, 查验, 检验, 勘探, 显示\nvi. 证明是
argue;'ɑ:gju;vi. 提出理由, 争论, 辩论\nvt. 主张, 辩论, 证明, 说服
enjoy;in'dʒɒi;vt. 享受, 喜欢, 欣赏\n[法] 享受, 享有, 获得某种利益
introduce;.intrә'dju:s;vt. 介绍, 引入, 采用, 输入\n[法] 引进, 输入, 介绍
eat;i:t;v. 吃, 腐蚀
enter;'entә;vt. 进入, 参加, 开始, 输入, 回车\nvi. 进去, 参加\n[计] 输入, 回车
arrive;ә'raiv;vi. 到达, 抵达
pull;pul;vt. 拉, 拖, 拔, 牵, 撕开, 吸引\nvi. 拉, 拖, 拔, 有吸引力\nn. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引
refer;ri'fә:;vt. 提交, 归诸于, 把...提交, 使求助于\nvi. 提到, 涉及, 查阅, 查询, 咨询
relate;ri'leit;vt. 讲, 叙述, 使互相关联\nvi. 有关, 符合, 相处得好
manage;'mænidʒ;vi. 处理\nvt. 管理, 控制, 维持, 达成, 经营, 运用
affect;ә'fekt;vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情
compare;kәm'pєә;vt. 比较, 比喻, 对照\nvi. 相比\nn. 比较\n[计] 比较
obtain;әb'tein;vt. 获得, 达到\nvi. 流行, 得到公认
announce;ә'nauns;vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选
indicate;'indikeit;vt. 显示, 象征, 指示, 指出\n[医] 指示
forget;fә'get;vt. 忘记, 忽略, 忘\nvi. 忘记
suffer;'sʌfә;vt. 遭受, 经历, 忍受\nvi. 受痛苦, 受损害
publish;'pʌbliʃ;vt. 出版, 发行, 公开, 发表, 宣传, 公布\nvi. 出版, 发行
avoid;ә'vɒid;vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开
suppose;sә'pәuz;vt. 推想, 假设, 以为, 想像, 假定\nvi. 料想
determine;di'tә:min;v. 决定, 决心
tend;tend;vi. 走向, 有某种的倾向, 易于, 照顾, 注意\nvt. 照料, 护理
listen;'lisn;vi. 听, 倾听, 听从\nn. 听, 倾听
remove;ri'mu:v;vt. 移动, 调动, 除去, 迁移, 开除, 移交\nvi. 迁移, 移动, 搬家\nn. 班级, 升级, 移动, 搬家, 间距\n[计] 删除
throw;θrәu;vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱\nvi. 丢, 掷, 抛\nn. 投掷, 掷骰子, 冒险
exist;ig'zist;vi. 存在, 生存, 发生
encourage;in'kʌridʒ;vt. 鼓励, 支持, 激励\n[法] 怂恿, 煽动, 助长
reflect;ri'flekt;vt. 反射, 反映, 招致, 深思\nvi. 被反射, 映出, 深思, 考虑, 指责
assume;ә'sju:m;vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越
admit;әd'mit;vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认
prepare;pri'pєә;vt. 准备, 筹备, 使在思想上有准备, 制造, 调制\nvi. 预备
replace;ri'pleis;vt. 代替, 替换, 放回, 归还\n[计] 替换
fill;fil;vt. 装满, 填充, 弥漫, 供给, 满足, 供应\nvi. 充满, 变得沉重\nn. 满足, 装满, 充分, 填方\nvt. 填充\nvi. 填充\n[计] 填充
improve;im'pru:v;vt. 改良, 提高...的价值, 改善, 利用\nvi. 变得更好, 增加
intend;in'tend;vt. 计划, 打算, 意思是\n[法] 想要, 打算, 意旨
discover;dis'kʌvә;vt. 发现, 找到, 暴露\nvi. 发现
refuse;ri'fju:z;vt. 拒绝, 谢绝\nvi. 拒绝\nn. 废物\na. 扔掉的, 无用的
prevent;pri'vent;v. 预防, 防止, 阻止, 妨碍
lay;lei;vt. 放置, 产, 铺设, 布置, 提出, 平息\nvi. 下蛋, 打赌\nn. 位置, 层, 隐藏处\na. 世俗的, 外行的\nlie的过去式
teach;ti:tʃ;vt. 教, 讲授, 教导, 教育\nvi. 教书, 教学, 可以教
operate;'ɒpәreit;v. 操作, 运转, 动手术, 活动
depend;di'pend;vi. 靠, 视...而定, 信赖
realise;'riәlaiz,'ri:-;vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱
arise;ә'raiz;vi. 站立, 出现, 起来
examine;ig'zæmin;v. 检查, 调查, 考试
recognise;'rekә^naiz;vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言
attend;ә'tend;vt. 参加, 照料, 伴随\nvi. 专心于, 照顾, 服侍, 出席
perform;pә'fɒ:m;vt. 进行, 履行, 完成, 执行, 表演\nvi. 行动, 工作, 执行, 演出
protect;prә'tekt;vt. 防卫, 保护, 警戒\n[法] 庇护, 保护, 警戒
